,ground CCSDE,1A1 (4s),2A1 (3pz),3A1 (3s),4A1 (3d),5A1 (3pz),1A2 (3d),2A2 (4d),1B1 (5px),2B1 (3px),3B1 (3d),4B1 (4px),5B1 (4d), 1B1 (2py),2B2 (3py),3B2 (3d),4B2 (4py),5B2 (4d)
0.5,-3.019779276,-3.024101754,-2.943871709,-2.934221991,-2.92632207,-2.908134608,-2.925644317,-2.880438752,-3.003753543,-2.929012925,-2.926144624,-2.895837895,-2.881349959,-3.003753543,-2.929012925,-2.926144624,-2.895837895,-2.881349959
0.51,-3.032520337,-3.034969766,-2.955200115,-2.945105854,-2.937261194,-2.919140772,-2.936558272,-2.891346465,-3.014657259,-2.939929127,-2.937076481,-2.906756207,-2.892289471,-3.014657259,-2.939929127,-2.937076481,-2.906756207,-2.892289471
0.52,-3.044465236,-3.044831117,-2.965594548,-2.95502577,-2.947248784,-2.929207133,-2.946520427,-2.90130214,-3.024606087,-2.949892644,-2.947056664,-2.91672179,-2.902277191,-3.024606087,-2.949892644,-2.947056664,-2.91672179,-2.902277191
0.53,-3.055684482,-3.053767213,-2.975127722,-2.964058451,-2.956360092,-2.938408775,-2.955606046,-2.910381037,-3.03367535,-2.958978758,-2.956160423,-2.925809923,-2.911388366,-3.03367535,-2.958978758,-2.956160423,-2.925809923,-2.911388366
0.54,-3.066241728,-3.061852744,-2.983866063,-2.972274099,-2.964663976,-2.946814126,-2.963883999,-2.918652027,-3.041933986,-2.967256365,-2.964456615,-2.934089495,-2.919691852,-3.041933986,-2.967256365,-2.964456615,-2.934089495,-2.919691852
0.55,-3.076194517,-3.069156182,-2.991870351,-2.979737015,-2.972223518,-2.954485585,-2.971417382,-2.926178204,-3.049445154,-2.974788581,-2.972008067,-2.941623617,-2.927250712,-3.049445154,-2.974788581,-2.972008067,-2.941623617,-2.927250712
0.56,-3.085594923,-3.075740263,-2.999196276,-2.986506142,-2.979096571,-2.9614801,-2.97826406,-2.93301743,-3.056266792,-2.981633295,-2.978873154,-2.948470173,-2.934122831,-3.056266792,-2.981633295,-2.978873154,-2.948470173,-2.934122831
0.57,-3.094490097,-3.081662468,-3.005894935,-2.992635556,-2.985336242,-2.967849708,-2.984477152,-2.939222825,-3.062452092,-2.987843652,-2.985104725,-2.954682301,-2.940361297,-3.062452092,-2.987843652,-2.985104725,-2.954682301,-2.940361297
0.58,-3.102922747,-3.086975475,-3.01201327,-2.998174913,-2.990991334,-2.973642027,-2.990105473,-2.9448432,-3.068049944,-2.993468487,-2.990751581,-2.960308833,-2.94601491,-3.068049944,-2.993468487,-2.990751581,-2.960308833,-2.94601491
0.59,-3.11093155,-3.091727582,-3.017594452,-3.003169844,-2.996106725,-2.978900698,-2.995193917,-2.949923448,-3.073105318,-2.998552719,-2.995858602,-2.965394681,-2.951128548,-3.073105318,-2.998552719,-2.995858602,-2.965394681,-2.951128548
0.6,-3.118551526,-3.095963101,-3.02267823,-3.00766232,-3.000723727,-2.983665792,-2.999783809,-2.954504891,-3.077659616,-3.003137692,-3.000467101,-2.969981189,-2.955743519,-3.077659616,-3.003137692,-3.000467101,-2.969981189,-2.955743519
0.61,-3.125814364,-3.099722714,-3.02730124,-3.011690972,-3.004880393,-2.987974159,-3.003913217,-2.958625592,-3.081750984,-3.007261498,-3.00461513,-2.97410644,-2.959897872,-3.081750984,-3.007261498,-3.00461513,-2.97410644,-2.959897872
0.62,-3.132748722,-3.1030438,-3.031497289,-3.015291405,-3.008611798,-2.991859715,-3.007617236,-2.962320642,-3.085414598,-3.010959251,-3.008337769,-2.977805547,-2.963626682,-3.085414598,-3.010959251,-3.008337769,-2.977805547,-2.963626682
0.63,-3.139380503,-3.105960738,-3.035297561,-3.018496385,-3.011950302,-2.995353981,-3.010928241,-2.965622411,-3.088682912,-3.014263351,-3.011667373,-2.9811109,-2.966962306,-3.088682912,-3.014263351,-3.011667373,-2.9811109,-2.966962306
0.64,-3.145733099,-3.108505164,-3.038730908,-3.021336218,-3.014925773,-2.998485773,-3.013876316,-2.968560774,-3.091585889,-3.017203705,-3.014633811,-2.984052396,-2.969934608,-3.091585889,-3.017203705,-3.014633811,-2.984052396,-2.969934608
0.65,-3.151827624,-3.110706213,-3.041824011,-3.023838838,-3.017565794,-3.001281867,-3.016488738,-2.971163332,-3.094151212,-3.019807941,-3.017264666,-2.986657652,-2.972571171,-3.094151212,-3.019807941,-3.017264666,-2.986657652,-2.972571171
0.66,-3.157683122,-3.112590819,-3.044601586,-3.026030046,-3.019895867,-3.003766926,-3.018791136,-2.973455588,-3.09640447,-3.022101591,-3.019585427,-2.988952191,-2.974897487,-3.09640447,-3.022101591,-3.019585427,-2.988952191,-2.974897487
0.67,-3.163316768,-3.114183584,-3.04708645,-3.027933686,-3.021939556,-3.00596414,-3.02080709,-2.97546112,-3.098369326,-3.024108288,-3.021619656,-2.990959618,-2.976937127,-3.098369326,-3.024108288,-3.021619656,-2.990959618,-2.976937127
